exists file 
exists file 
exists file 
exists file 
exists file 
exists file 
exists file 
exists file 
Not Android platform, skipping copyExternalDB
Treatment plans table ensured
Treatment plans table ensured
Treatment plans table ensured
Invoices table ensured
Invoices table ensured
Invoices table ensured
Checking App ID: 123, Start: 2023-10-07 15:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: -1243045m
Checking App ID: 124, Start: 2026-02-01 16:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: -21805m
Checking App ID: 125, Start: 2026-01-31 11:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: -23545m
Checking App ID: 126, Start: 2026-01-31 11:40:00.000, Now: 2026-02-16 19:25:38.506442, Diff: -23505m
Checking App ID: 127, Start: 2026-01-31 11:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: -23545m
Checking App ID: 128, Start: 2026-01-31 14:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: -23365m
Checking App ID: 129, Start: 2026-01-31 13:30:00.000, Now: 2026-02-16 19:25:38.506442, Diff: -23395m
Checking App ID: 130, Start: 2026-01-31 11:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: -23545m
Checking App ID: 131, Start: 2026-01-28 22:20:00.000, Now: 2026-02-16 19:25:38.506442, Diff: -27185m
Checking App ID: 132, Start: 2026-02-12 11:40:00.000, Now: 2026-02-16 19:25:38.506442, Diff: -6225m
Checking App ID: 133, Start: 2026-02-07 11:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: -13465m
Checking App ID: 134, Start: 2026-02-07 12:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: -13405m
Checking App ID: 135, Start: 2026-02-05 09:10:00.000, Now: 2026-02-16 19:25:38.506442, Diff: -16455m
Checking App ID: 136, Start: 2026-02-07 13:30:00.000, Now: 2026-02-16 19:25:38.506442, Diff: -13315m
Checking App ID: 137, Start: 2026-02-07 11:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: -13465m
Checking App ID: 140, Start: 2026-02-02 11:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: -20665m
Checking App ID: 141, Start: 2026-02-03 13:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: -19105m
Checking App ID: 142, Start: 2026-02-07 09:31:00.000, Now: 2026-02-16 19:25:38.506442, Diff: -13554m
Checking App ID: 143, Start: 2026-02-17 09:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: 814m
Checking App ID: 144, Start: 2026-02-15 12:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: -1885m
Checking App ID: 145, Start: 2026-02-22 12:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: 8194m
Checking App ID: 147, Start: 2026-03-01 12:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: 18274m
Checking App ID: 148, Start: 2026-02-10 13:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: -9025m
